alpha1,alpha2,MAE,time_s
1.5,5.0,10.0,0.2719480419999627
1.5,5.0,10.0,0.2368862089999766
1.5,5.0,10.0,0.2773022909999554
1.5,5.0,10.0,0.2811488329999747
1.5,5.0,20.0,0.2379318749999583
1.5,5.0,65.0,0.2764528749999044
1.5,5.0,10.0,0.2647952500000201
1.5,5.0,35.0,0.2640152079999325
1.5,5.0,10.0,0.3244013749999794
1.5,5.0,25.0,0.2682575420000148
1.5,5.0,15.0,0.2796927090000736
1.5,5.0,20.0,0.2764929999999594
1.5,5.0,20.0,0.2622755840000081
1.5,5.0,75.0,0.2782940410000947
1.5,5.0,10.0,0.2665691669999432
1.5,5.0,100.0,0.2792566250000163
1.5,5.0,65.0,0.2409566250000807
1.5,5.0,10.0,0.2415721669999584
1.5,5.0,10.0,0.2715376249999508
1.5,5.0,40.0,0.2477081249999173
1.5,5.0,10.0,0.2732870419999926
1.5,5.0,10.0,0.2758598750000374
1.5,5.0,20.0,0.2766713750000917
1.5,5.0,15.0,0.2815243750000036
1.5,5.0,20.0,0.2777366249999886
1.5,5.0,15.0,0.251283959000034
1.5,5.0,10.0,0.285207332999903
1.5,5.0,30.0,0.244689583999957
1.5,5.0,30.0,0.2531258750000233
1.5,5.0,10.0,0.2649764999999888
1.5,5.0,10.0,0.2767875419999654
1.5,5.0,10.0,0.3072708749999719
1.5,5.0,10.0,0.2717978749999474
1.5,5.0,10.0,0.2465233330000273
1.5,5.0,50.0,0.3066491669999323
1.5,5.0,10.0,0.2319405829999823
1.5,5.0,15.0,0.2809274999999616
1.5,5.0,10.0,0.2722955839999486
1.5,5.0,10.0,0.2643866249999291
1.5,5.0,10.0,0.2633550000000468
1.5,5.0,45.0,0.2640960420000056
1.5,5.0,10.0,0.2561890419999599
1.5,5.0,10.0,0.2535064999999576
1.5,5.0,10.0,0.2432783750000453
1.5,5.0,10.0,0.317996375000007
1.5,5.0,10.0,0.2706758329999275
1.5,5.0,70.0,0.2608286670000552
1.5,5.0,20.0,0.265493666999987
1.5,5.0,10.0,0.2463837499999499
1.5,5.0,15.0,0.276467249999996
1.5,5.0,10.0,0.2580460829999538
1.5,5.0,10.0,0.2953258750000032
1.5,5.0,15.0,0.2609355409999807
1.5,5.0,10.0,0.2909567500000776
1.5,5.0,30.0,0.2747542500000008
1.5,5.0,10.0,0.267866333000029
1.5,5.0,45.0,0.3559537090000049
1.5,5.0,10.0,0.2825295000000096
1.5,5.0,10.0,0.289518208000004
1.5,5.0,10.0,0.3395291670000233
1.5,5.0,10.0,0.2375722079999604
1.5,5.0,15.0,0.293449709000015
1.5,5.0,35.0,0.3219088330000659
1.5,5.0,10.0,0.385502458000019
1.5,5.0,10.0,0.4907780000000912
1.5,5.0,15.0,0.2761944580000772
1.5,5.0,10.0,0.4163699999999153
1.5,5.0,40.0,0.2668377920000466
1.5,5.0,10.0,0.2655798340000501
1.5,5.0,15.0,0.3402719999999135
1.5,5.0,55.0,0.3894740419999607
1.5,5.0,65.0,0.3167801249999229
1.5,5.0,30.0,0.2809612080000079
1.5,5.0,10.0,0.3154498330000024
1.5,5.0,10.0,0.2544535419999647
1.5,5.0,10.0,0.2650992080000378
1.5,5.0,10.0,0.2844021250000423
1.5,5.0,10.0,0.2378482079999457
1.5,5.0,55.0,0.2480395839999118
1.5,5.0,45.0,0.261585666999963
1.5,5.0,50.0,0.3335974999999962
1.5,5.0,85.0,0.2987993330000336
1.5,5.0,55.0,0.2494574160000411
1.5,5.0,10.0,0.302546207999967
1.5,5.0,40.0,0.2929325420000168
1.5,5.0,30.0,0.2844275830000242
1.5,5.0,10.0,0.2769522080000115
1.5,5.0,10.0,0.2478984580000087
1.5,5.0,10.0,0.2638132079999877
1.5,5.0,20.0,0.2737718330000689
1.5,5.0,10.0,0.2857409169999982
1.5,5.0,20.0,0.2479460409999774
1.5,5.0,10.0,0.2684347919999936
1.5,5.0,10.0,0.2693957090000367
1.5,5.0,80.0,0.2684146670000018
1.5,5.0,10.0,0.2565524999999979
1.5,5.0,15.0,0.3840893750000305
1.5,5.0,80.0,0.2631819169999971
1.5,5.0,10.0,0.2586745839998912
1.5,5.0,10.0,0.2660596249999116
1.5,5.0,10.0,0.248443457999997
1.5,5.0,50.0,0.2530611669999416
1.5,5.0,90.0,0.2605237909999687
1.5,5.0,10.0,0.2490870829999494
1.5,5.0,10.0,0.2669068750000178
1.5,5.0,10.0,0.2523853750000171
1.5,5.0,10.0,0.2768396249999796
1.5,5.0,10.0,0.2627435419999528
1.5,5.0,10.0,0.2729026250000288
1.5,5.0,10.0,0.3108781250000447
1.5,5.0,10.0,0.2824213339999915
1.5,5.0,20.0,0.277218666000067
1.5,5.0,20.0,0.2684957500000564
1.5,5.0,10.0,0.261353667000094
1.5,5.0,15.0,0.2593182499999784
1.5,5.0,20.0,0.2808736670000371
1.5,5.0,45.0,0.2496674160000793
1.5,5.0,10.0,0.2569832919999726
1.5,5.0,15.0,0.2469628329999977
1.5,5.0,35.0,0.244281084000022
1.5,5.0,10.0,0.2537658749999991
1.5,5.0,55.0,0.2664247499999419
1.5,5.0,10.0,0.2576152919999686
1.5,5.0,10.0,0.2819771250000258
1.5,5.0,10.0,0.2690357080000467
1.5,5.0,10.0,0.2540266669999482
1.5,5.0,10.0,0.267387417000009
1.5,5.0,10.0,0.2594485829999939
1.5,5.0,10.0,0.2489944169999489
1.5,5.0,50.0,0.2659344170000395
1.5,5.0,15.0,0.2500072919999638
1.5,5.0,80.0,0.2448777500000005
1.5,5.0,65.0,0.2685439159999987
1.5,5.0,10.0,0.2586434999999483
1.5,5.0,10.0,0.2652026659999364
