alpha1,alpha2,MAE,time_s
1.5,2.0,,20.655387042000257
1.5,2.0,,20.288886082999852
1.5,2.0,,20.788937416999943
1.5,2.0,,21.802635750000263
1.5,2.0,,20.485706874999774
1.5,2.0,,20.011921499999517
1.5,2.0,,18.854599207999858
1.5,2.0,,18.117968458000178
1.5,2.0,,17.662385583000287
1.5,2.0,,19.761096541999905
1.5,2.0,,17.522851708000417
1.5,2.0,,18.543985207999867
1.5,2.0,,17.82468450000033
1.5,2.0,,17.75132870899961
1.5,2.0,,17.665812666999955
1.5,2.0,,17.10303366700009
1.5,2.0,,12.902952458000073
1.5,2.0,,13.27964320799947
1.5,2.0,,13.416700666999532
1.5,2.0,,13.001365291000184
1.5,2.0,,12.386841083000036
1.5,2.0,,13.358271292000609
1.5,2.0,,13.135171625000112
1.5,2.0,,14.47648124999978
1.5,2.0,,14.37358674999996
1.5,2.0,,15.023297457999432
1.5,2.0,,15.015307292000216
1.5,2.0,,25.847885750000387
1.5,2.0,,16.2220025000006
1.5,2.0,,15.903729791999467
1.5,2.0,,17.685258375000558
1.5,2.0,,13.92053791699982
1.5,2.0,,14.547658167000009
1.5,2.0,,13.695611916999953
1.5,2.0,,13.41392625000026
1.5,2.0,,13.137515500000518
1.5,2.0,,13.25326233299984
1.5,2.0,,13.428288791999876
1.5,2.0,,13.309275915999931
1.5,2.0,,13.353499416999512
1.5,2.0,,13.18310108300011
1.5,2.0,,12.798077708000164
1.5,2.0,,11.4114684999995
1.5,2.0,,12.31799279200004
1.5,2.0,,12.860980874999768
1.5,2.0,,13.220100584000647
1.5,2.0,,12.435486957999274
1.5,2.0,,12.38435912499972
1.5,2.0,,12.858328583999535
1.5,2.0,,12.36042366699985
1.5,2.0,,12.740200332999848
1.5,2.0,,12.411888166000608
1.5,2.0,,12.192540000000008
1.5,2.0,,12.227373791999526
1.5,2.0,,12.27282041699982
1.5,2.0,,12.00250587499977
1.5,2.0,,12.198918500000218
1.5,2.0,,11.970371041999895
1.5,2.0,,12.163113582999358
1.5,2.0,,15.413768833000177
1.5,2.0,,15.79016595900066
1.5,2.0,,16.60373037499994
1.5,2.0,,16.497279958000036
1.5,2.0,,16.49007637500017
1.5,2.0,,16.4437701249999
1.5,2.0,,17.246656041999813
1.5,2.0,,17.11414395799966
1.5,2.0,,16.325244833000397
1.5,2.0,,15.78505083300024
1.5,2.0,,15.344217709000077
1.5,2.0,,15.211645082999894
1.5,2.0,,15.359943458999624
1.5,2.0,,15.027754250000726
1.5,2.0,,14.903007999999318
1.5,2.0,,14.949632292000388
1.5,2.0,,14.79076758300016
1.5,2.0,,14.576177041999472
1.5,2.0,,14.849831874999836
1.5,2.0,,14.71447733399964
1.5,2.0,,15.628856125000311
1.5,2.0,,17.062268291999317
1.5,2.0,,16.89328037500036
1.5,2.0,,16.681605541999488
1.5,2.0,,17.005219708000368
1.5,2.0,,17.04680316699978
1.5,2.0,,17.41574537500037
1.5,2.0,,17.373754082999767
1.5,2.0,,16.464443042000312
1.5,2.0,,15.434380749999946
1.5,2.0,,15.180201000000125
1.5,2.0,,15.60746754199954
1.5,2.0,,15.275058582999918
1.5,2.0,,15.234775500000069
1.5,2.0,,14.873418000000129
1.5,2.0,,15.17589208299978
1.5,2.0,,14.79849079199994
1.5,2.0,,14.717825916000038
1.5,2.0,,15.137539458999528
1.5,2.0,,12.891498291000062
1.5,2.0,,11.134266083000512
1.5,2.0,,11.370199584000147
1.5,2.0,,11.649059041999864
1.5,2.0,,11.563969666000048
1.5,2.0,,11.017057125000065
1.5,2.0,,11.003596417000152
1.5,2.0,,18.23492612500013
1.5,2.0,,12.050653415999475
1.5,2.0,,11.74731441699987
1.5,2.0,,11.585169041999508
1.5,2.0,,13.562630417000037
1.5,2.0,,19.94764537500032
1.5,2.0,,12.056677750000745
1.5,2.0,,10.283763750000617
1.5,2.0,,10.566356915999677
1.5,2.0,,7.102418082999975
1.5,2.0,,7.423106958000062
1.5,2.0,,8.988324375000047
1.5,2.0,,8.350647792000018
1.5,2.0,,9.362924334000128
1.5,2.0,,8.606370667000192
1.5,2.0,,8.81840133300011
1.5,2.0,,9.030527458000506
1.5,2.0,,9.2829857910001
1.5,2.0,,9.203483749999576
1.5,2.0,,9.0904467499995
1.5,2.0,,9.140397834000396
1.5,2.0,,9.100272790999952
1.5,2.0,,8.79632520800078
1.5,2.0,,9.04632062499968
1.5,2.0,,9.358619374999762
1.5,2.0,,9.183765124999807
1.5,2.0,,9.218389708999894
1.5,2.0,,9.27433070799998
1.5,2.0,20.0,9.363769416999276
1.5,2.0,,9.042400125000311
1.5,2.0,,9.4092244579997
1.5,2.0,,9.332048124999346
1.5,2.0,,9.875387417000638
1.5,2.0,,9.5324565410001
1.5,2.0,,10.394061457999667
1.5,2.0,,9.296978458999549
1.5,2.0,,9.1264387909996
1.5,2.0,,9.092181207999602
1.5,2.0,,9.275596667000173
1.5,2.0,,9.584051707999606
1.5,2.0,,9.254271666000022
1.5,2.0,,9.203168457999707
1.5,2.0,,9.180230834000213
1.5,2.0,,9.32752420899942
1.5,2.0,,9.555104957999902
1.5,2.0,,9.428912250000394
1.5,2.0,,9.189928292000332
1.5,2.0,,9.409931250000229
1.5,2.0,,9.232650874999308
1.5,2.0,,9.2461291669988
1.5,2.0,,9.612467458000538
1.5,2.0,,9.356239333999838
1.5,2.0,,9.56664612500026
1.5,2.0,,9.529180625000665
1.5,2.0,,9.938262375000704
1.5,2.0,,9.436014625000098
1.5,2.0,,9.410142250000716
1.5,2.0,,9.331138999999894
1.5,2.0,,9.732125250000536
1.5,2.0,,9.613395082998975
1.5,2.0,,9.51692012499916
1.5,2.0,,10.084900292000384
1.5,2.0,,10.31363141699876
1.5,2.0,,9.524895250000554
1.5,2.0,,10.617894375000104
1.5,2.0,,9.66860566700052
1.5,2.0,,9.64195670800109
1.5,2.0,,9.74008912499994
1.5,2.0,,9.68558658300026
1.5,2.0,,9.840443708000748
1.5,2.0,,9.831408916999862
1.5,2.0,,9.84622437500002
1.5,2.0,,10.099344832999122
1.5,2.0,,10.134842665998804
1.5,2.0,,10.023465917000069
1.5,2.0,,9.893062958000884
1.5,2.0,,10.960282666999774
1.5,2.0,,10.087618625000689
1.5,2.0,,10.319890582999506
1.5,2.0,,14.659419625000735
1.5,2.0,,12.05281066599855
1.5,2.0,,10.62339933399926
1.5,2.0,,10.539054832999682
1.5,2.0,,10.86439158400026
1.5,2.0,,10.684764749999886
1.5,2.0,,10.733340750000934
1.5,2.0,,10.756708249999065
1.5,2.0,,10.674563874999876
1.5,2.0,,10.71867199999906
1.5,2.0,,11.104952915999093
1.5,2.0,,10.93061200000011
1.5,2.0,,11.054073125000286
1.5,2.0,,10.881765250000171
1.5,2.0,,11.024194625000746
1.5,2.0,,11.029487457999494
1.5,2.0,,11.160747291000009
1.5,2.0,,11.214859207999323
1.5,2.0,,11.190644874999634
1.5,2.0,,11.212449916001788
1.5,2.0,,11.112146707999273
1.5,2.0,,11.31375291599943
1.5,2.0,20.0,11.490253542000572
1.5,2.0,,11.710631625001042
1.5,2.0,,11.491971375000505
1.5,2.0,,11.88103137500002
1.5,2.0,,11.57054695899933
1.5,2.0,,11.59518266699888
1.5,2.0,,11.786716374999742
1.5,2.0,,11.768912625000668
1.5,2.0,,11.985887208998976
1.5,2.0,,12.00457258300048
1.5,2.0,,12.104614875001062
1.5,2.0,,12.617319666000183
1.5,2.0,,12.278851290999228
1.5,2.0,,12.32721570800095
1.5,2.0,,12.32636595799886
1.5,2.0,,12.863324250000003
1.5,2.0,,12.497711457999683
1.5,2.0,,12.191408208000212
1.5,2.0,,11.8095750829998
1.5,2.0,,11.523692582999502
1.5,2.0,,11.541984499999671
1.5,2.0,,11.278086708000046
1.5,2.0,,11.03630904199963
1.5,2.0,,11.033596291999856
1.5,2.0,20.0,11.068673583999043
1.5,2.0,,15.219832374999896
1.5,2.0,,11.05765483399955
1.5,2.0,,11.093926375000592
1.5,2.0,,13.476356958000906
1.5,2.0,,15.08635908299948
1.5,2.0,,13.775968875001126
1.5,2.0,,11.14603866700054
1.5,2.0,,11.77564354199967
1.5,2.0,,10.976348250000228
1.5,2.0,,10.690138500000105
1.5,2.0,,11.049412250000389
1.5,2.0,,11.484159957999507
1.5,2.0,,12.1194554169997
1.5,2.0,,16.126237750000655
1.5,2.0,,12.522275624998656
1.5,2.0,,11.428764708000015
1.5,2.0,,11.77757533300064
1.5,2.0,,11.610018041999863
1.5,2.0,,10.429220125000938
1.5,2.0,,10.71625195800152
1.5,2.0,,10.670023958000456
1.5,2.0,,10.441223916001036
1.5,2.0,,10.451821832999483
1.5,2.0,,10.68134241699954
1.5,2.0,,10.363767417000416
1.5,2.0,,10.397649708000245
1.5,2.0,,10.431513542000175
1.5,2.0,,10.660258084000816
1.5,2.0,,10.4223682920001
1.5,2.0,,10.54570062499988
1.5,2.0,,10.456057041999884
1.5,2.0,,10.46461320799972
1.5,2.0,,10.507104665999575
1.5,2.0,,10.397669209000014
1.5,2.0,,10.382906082999398
1.5,2.0,,10.320115625001565
1.5,2.0,,10.420708708001255
1.5,2.0,,10.456475040999068
1.5,2.0,,10.414754999999786
1.5,2.0,,10.339473083000485
1.5,2.0,,10.40685137500077
1.5,2.0,,10.363180000000284
1.5,2.0,,10.329971125000156
1.5,2.0,,10.41030183300063
1.5,2.0,,10.532603458001176
1.5,2.0,,10.362966374999814
1.5,2.0,,10.275086084000575
1.5,2.0,,11.99476783299906
1.5,2.0,,12.000284292000288
1.5,2.0,,11.472811749999892
1.5,2.0,,12.36452541700055
1.5,2.0,,14.518271417000506
1.5,2.0,,11.33514120900145
1.5,2.0,,10.737240208998628
1.5,2.0,,10.568052209000598
1.5,2.0,,10.502585332998931
1.5,2.0,,10.501341082999716
1.5,2.0,,10.397199708999324
1.5,2.0,,10.440767874999436
1.5,2.0,,10.350182540998505
1.5,2.0,,10.27634133399988
1.5,2.0,,10.312997625000207
1.5,2.0,,10.259775583999726
1.5,2.0,,10.229850375000751
1.5,2.0,,10.402001583001038
1.5,2.0,,11.648826708000342
1.5,2.0,,11.680114040998888
1.5,2.0,,10.982537375000902
1.5,2.0,,10.372471291999318
1.5,2.0,,10.449066083001526
1.5,2.0,,10.674328209001033
1.5,2.0,,10.740139207999164
1.5,2.0,,10.56483579199994
1.5,2.0,,10.605796583999108
1.5,2.0,,10.419383708000169
1.5,2.0,,11.70181145800052
1.5,2.0,,11.491367458998866
1.5,2.0,,11.50589258400032
1.5,2.0,,11.54005212500124
1.5,2.0,,10.81647675000022
1.5,2.0,,10.54809862500042
1.5,2.0,,10.491298291999556
1.5,2.0,,10.507806916000844
1.5,2.0,,10.529122375000952
1.5,2.0,,10.492872625000018
1.5,2.0,,10.466043374999572
1.5,2.0,,10.397394250001526
1.5,2.0,,10.764094709000346
1.5,2.0,,13.775111000000834
1.5,2.0,,11.459385000000111
1.5,2.0,,11.243968207998478
1.5,2.0,,10.924289167000095
1.5,2.0,,10.794024290999005
1.5,2.0,,10.92952779099869
1.5,2.0,,10.52202112500163
1.5,2.0,,10.46176608299902
1.5,2.0,,10.45372425000096
1.5,2.0,,10.744272957999785
1.5,2.0,,10.797964458000934
1.5,2.0,,10.658204041999852
1.5,2.0,,10.465968541999246
1.5,2.0,,10.326471125001262
1.5,2.0,,10.460189291999995
1.5,2.0,,10.412055374999907
1.5,2.0,,10.478445250000732
1.5,2.0,,10.352167166998695
1.5,2.0,,10.452083874999516
1.5,2.0,,10.419570541000212
1.5,2.0,,10.410062165999989
1.5,2.0,,10.397288083999229
1.5,2.0,,10.455743499998787
1.5,2.0,,10.43498229099896
1.5,2.0,,10.359359624999342
1.5,2.0,,11.660388874999626
1.5,2.0,,10.444566291000228
1.5,2.0,,10.508684000000358
1.5,2.0,,10.458933874999277
1.5,2.0,,10.415463249999448
1.5,2.0,,12.544020999999702
1.5,2.0,,10.90789045800011
1.5,2.0,,11.059394292000434
1.5,2.0,,11.032251708998956
1.5,2.0,,10.82272550000016
1.5,2.0,,10.691045083000065
1.5,2.0,,12.268458999998984
1.5,2.0,,11.335271459000069
1.5,2.0,,10.770224750000123
1.5,2.0,,10.604282917000091
1.5,2.0,,10.555331249999654
1.5,2.0,,10.489024624999727
1.5,2.0,,10.428925165999315
1.5,2.0,,10.384233791999575
1.5,2.0,,10.643963624999742
1.5,2.0,,10.74542783400102
1.5,2.0,,10.476746416001331
1.5,2.0,,10.474558207999507
1.5,2.0,,10.44949862499925
1.5,2.0,,10.858591250000243
1.5,2.0,,10.285478916001011
1.5,2.0,,10.39105712500168
1.5,2.0,,10.19221533400014
1.5,2.0,,10.333733249999568
1.5,2.0,,10.248694625001008
1.5,2.0,,10.3713103329992
1.5,2.0,,10.253401124999073
1.5,2.0,,10.563666916999864
1.5,2.0,,10.254121624999245
1.5,2.0,,10.371255959000337
1.5,2.0,,10.204945833998863
1.5,2.0,,10.318987874999948
1.5,2.0,,10.354347833001157
1.5,2.0,,10.359453749999377
1.5,2.0,,12.145223792000252
1.5,2.0,,13.699305333000666
1.5,2.0,,12.171161333999407
1.5,2.0,,11.396551457999522
1.5,2.0,,10.883123292000164
1.5,2.0,,11.527764415999629
1.5,2.0,,11.49930654200034
1.5,2.0,,10.72710295899924
1.5,2.0,,10.732931000000464
1.5,2.0,,10.99821037500078
1.5,2.0,,10.825004291000369
1.5,2.0,,11.385251249999785
1.5,2.0,,10.752963875000203
1.5,2.0,,10.764689375000671
1.5,2.0,,10.972072332999232
1.5,2.0,,13.239895624999916
1.5,2.0,,12.251378540999212
1.5,2.0,,11.142891957999382
1.5,2.0,,12.026331834000302
1.5,2.0,,11.153427499999452
1.5,2.0,,11.312410167000053
1.5,2.0,,11.068898500001524
1.5,2.0,,11.681838499998776
1.5,2.0,,11.944854209001278
1.5,2.0,,12.357165125000392
1.5,2.0,,11.181267292000484
1.5,2.0,,11.171119874999931
1.5,2.0,,11.49124183299864
1.5,2.0,,11.990203249999468
1.5,2.0,,11.507134124998627
1.5,2.0,,10.690137499999764
1.5,2.0,,10.69051591599964
1.5,2.0,,10.692446832999847
1.5,2.0,,10.774299540998982
1.5,2.0,,11.067835416999516
1.5,2.0,,10.562633625000672
1.5,2.0,,10.406744874999276
1.5,2.0,,10.359204083000805
1.5,2.0,,10.392984707999858
1.5,2.0,,10.815380041000026
1.5,2.0,,10.925755416999891
1.5,2.0,,10.957152416998724
1.5,2.0,,11.001328500000454
1.5,2.0,,10.913382209000702
1.5,2.0,,10.590871500000503
1.5,2.0,,11.023915916000988
1.5,2.0,,10.54540787500082
1.5,2.0,,10.798708082998928
1.5,2.0,,10.716829166000023
1.5,2.0,,10.427865999999996
1.5,2.0,,10.500134083000376
1.5,2.0,,10.659449582999514
1.5,2.0,,10.387240916001248
1.5,2.0,,10.47004625000045
1.5,2.0,,10.360828875000152
1.5,2.0,,10.528375874999256
1.5,2.0,,10.536496916000033
1.5,2.0,,10.609804208999776
1.5,2.0,,10.416736249999303
1.5,2.0,,10.464145917001588
1.5,2.0,,10.419302791999144
1.5,2.0,,10.468751999998858
1.5,2.0,,10.542052666998645
1.5,2.0,,10.541290167000623
1.5,2.0,,10.375900375000128
1.5,2.0,,10.401862665999944
1.5,2.0,,10.51303050000024
1.5,2.0,,10.440037500000471
1.5,2.0,,11.09313158400073
1.5,2.0,,10.57639725000081
1.5,2.0,,10.379442249999556
1.5,2.0,,10.345038415998715
1.5,2.0,,10.351246833000914
1.5,2.0,,10.30706870799986
1.5,2.0,,10.331722625000111
1.5,2.0,,10.281520000000455
1.5,2.0,,10.310651457999484
1.5,2.0,,10.543256749999273
1.5,2.0,,13.300316417000433
1.5,2.0,,11.486019624999244
1.5,2.0,,11.223382000000129
1.5,2.0,,10.866309625000213
1.5,2.0,,11.343990207999012
1.5,2.0,,11.7845693750005
1.5,2.0,,10.467347457999496
1.5,2.0,,10.476064915999814
1.5,2.0,,10.38506658299957
1.5,2.0,,10.614422417000242
1.5,2.0,,10.40451241700066
1.5,2.0,,10.585213541000485
1.5,2.0,,10.374102374998984
1.5,2.0,,10.338353999999526
1.5,2.0,,10.451340666999386
1.5,2.0,,10.323881958000127
1.5,2.0,,10.261166917000082
1.5,2.0,,10.427409375000934
1.5,2.0,,10.435349875000613
1.5,2.0,,10.321809790999396
1.5,2.0,,10.142411541999536
1.5,2.0,,10.349564124999231
1.5,2.0,10.0,10.494777792000605
1.5,2.0,,10.277311791000102
1.5,2.0,,10.973493540999698
1.5,2.0,,10.39271479099989
1.5,2.0,,10.312042040999586
1.5,2.0,,10.275560875001249
1.5,2.0,,10.28448600000047
1.5,2.0,,10.8026010829999
1.5,2.0,,10.305990167000346
1.5,2.0,0.0,10.235166291000496
1.5,2.0,,10.206603291999272
1.5,2.0,,10.380958042000202
1.5,2.0,,10.49048645900075
1.5,2.0,,10.651648207998733
1.5,2.0,,10.624557458000709
1.5,2.0,,10.825047209000331
1.5,2.0,,10.435393458001272
1.5,2.0,,10.407338749999326
1.5,2.0,,10.404972624999573
1.5,2.0,,10.456661000000167
1.5,2.0,,12.30550441699961
1.5,2.0,,12.352581042001477
1.5,2.0,,12.5030259999985
1.5,2.0,,11.40389491699898
1.5,2.0,,12.116073207998852
1.5,2.0,,11.321676624998872
1.5,2.0,,11.556980750001458
1.5,2.0,,12.20824091599934
1.5,2.0,,12.133774791000178
1.5,2.0,,11.839460707999024
1.5,2.0,,11.2864454999999
1.5,2.0,,11.544766167000487
1.5,2.0,,11.138472791999448
1.5,2.0,,10.59564004099957
1.5,2.0,,13.969223833999422
1.5,2.0,,10.844331292000788
1.5,2.0,,10.836966541999573
1.5,2.0,,10.939002708999396
1.5,2.0,,11.870251957998336
1.5,2.0,,10.978859208998983
1.5,2.0,,11.571508917000756
1.5,2.0,,10.641647207999997
1.5,2.0,,11.382393667001452
1.5,2.0,,11.928945166999256
1.5,2.0,,11.956456375000926
1.5,2.0,,11.54359250000016
1.5,2.0,,11.760754999999335
1.5,2.0,,14.873002041998916
1.5,2.0,,11.198650209000334
1.5,2.0,,11.462375125000108
1.5,2.0,,10.923504209000384
1.5,2.0,,10.652102000000014
1.5,2.0,,10.944763583000167
1.5,2.0,,10.759104124999794
1.5,2.0,,10.567368790998444
1.5,2.0,,10.842446708000352
1.5,2.0,,11.051133041000869
1.5,2.0,,11.426087292000377
1.5,2.0,,11.703049333998932
1.5,2.0,,11.547037292000825
1.5,2.0,,11.175475374999223
1.5,2.0,,11.461150375000216
1.5,2.0,,11.793289041999742
1.5,2.0,,13.14080783299869
1.5,2.0,,14.336207667000052
1.5,2.0,,11.851441875000091
1.5,2.0,,11.600871999999072
1.5,2.0,,11.655085166999925
1.5,2.0,,11.90774529099872
1.5,2.0,,12.79259175000152
1.5,2.0,,11.34939149999991
1.5,2.0,,11.581024084000092
1.5,2.0,,11.370129958000687
1.5,2.0,,13.072222917000545
1.5,2.0,,12.3763482079994
1.5,2.0,,12.082382749998942
1.5,2.0,,11.632519209000748
1.5,2.0,,12.453576874999271
1.5,2.0,,11.75668129100086
1.5,2.0,,12.175410000001648
1.5,2.0,,12.497527083000024
1.5,2.0,,13.31477595799879
1.5,2.0,,11.55962137500137
1.5,2.0,,11.902107290999991
1.5,2.0,,11.687276333001137
1.5,2.0,,12.259997209001083
1.5,2.0,,12.477874041998804
1.5,2.0,,12.87902695899902
1.5,2.0,,13.515025082999273
1.5,2.0,,11.839876291998737
1.5,2.0,,12.276525375000348
1.5,2.0,,11.656273290998795
1.5,2.0,,12.64414774999932
1.5,2.0,,13.656180999998467
1.5,2.0,,12.020137333000092
1.5,2.0,,14.183507915999144
1.5,2.0,,12.349984624999706
1.5,2.0,,13.325354374999732
1.5,2.0,,11.82525291699858
1.5,2.0,,14.747482292001225
1.5,2.0,,11.620078041998568
1.5,2.0,,11.549505832999785
1.5,2.0,,13.036044125001354
1.5,2.0,,13.01535179199891
1.5,2.0,,11.639740665999852
1.5,2.0,,25.339202166000177
1.5,2.0,,38.06224304100033
1.5,2.0,,38.833733040999505
1.5,2.0,,37.249017333000666
1.5,2.0,,35.18403604099876
1.5,2.0,,39.19972912499907
1.5,2.0,,35.713983625000765
1.5,2.0,,29.228789042001154
1.5,2.0,,29.60898320800152
1.5,2.0,,36.76013779200002
1.5,2.0,,29.1279770000001
1.5,2.0,,34.957931707998796
1.5,2.0,,31.54040087499925
1.5,2.0,,37.57472016599968
1.5,2.0,,38.94086241699915
1.5,2.0,,31.432033540999328
1.5,2.0,,29.462789832999988
1.5,2.0,,36.29275745899941
1.5,2.0,,35.6011230840013
1.5,2.0,,24.682545540999858
1.5,2.0,,8.896174874998906
1.5,2.0,,7.196188207999512
1.5,2.0,,6.91757483299989
1.5,2.0,,7.274772250000751
1.5,2.0,,7.558840166000664
1.5,2.0,,7.670288082999832
1.5,2.0,,7.785209292000218
1.5,2.0,,7.946779959000196
1.5,2.0,,7.9594985420008015
1.5,2.0,,8.402310207999108
1.5,2.0,,8.404917957999714
1.5,2.0,,8.490232875001311
1.5,2.0,,8.842682458000127
1.5,2.0,,8.51739920900036
1.5,2.0,,9.115717582999425
1.5,2.0,,8.708632500000022
1.5,2.0,,9.05509041699952
1.5,2.0,,9.109633625001152
1.5,2.0,,11.698950166999566
1.5,2.0,,9.147754292000172
1.5,2.0,,9.194819041998926
1.5,2.0,,9.11717758299892
1.5,2.0,,9.146597082999506
1.5,2.0,,9.207553833999556
1.5,2.0,,9.478190499999982
1.5,2.0,,9.723167792000822
1.5,2.0,,12.83404395800062
1.5,2.0,,10.604698082999676
1.5,2.0,,9.227816042000995
1.5,2.0,,9.132488665998608
1.5,2.0,,10.0119847090009
1.5,2.0,,9.152547874999073
1.5,2.0,,8.943772541999351
1.5,2.0,,8.985558291999041
1.5,2.0,,9.054612166999505
1.5,2.0,,8.999509375000343
1.5,2.0,,9.417743957999846
1.5,2.0,,10.770897000000332
1.5,2.0,,8.89830337499916
1.5,2.0,,8.765050124999107
1.5,2.0,,8.730892250001489
1.5,2.0,,8.914556416000778
1.5,2.0,,8.915516167000533
1.5,2.0,,8.948353374998987
1.5,2.0,,9.195888083000682
1.5,2.0,,7.339253207999718
1.5,2.0,90.0,6.444197792001432
1.5,2.0,,11.611461167000016
1.5,2.0,,6.653065166001397
1.5,2.0,,11.865829166999902
1.5,2.0,,8.609242083999561
1.5,2.0,,7.420822542000678
1.5,2.0,,6.28893112500009
1.5,2.0,,7.461127374999705
1.5,2.0,,6.561084708000635
1.5,2.0,,7.174068542000896
1.5,2.0,,7.131135249999716
1.5,2.0,,7.525518083000861
1.5,2.0,,7.392130832999101
1.5,2.0,,7.51260129199909
1.5,2.0,,7.570241916999294
1.5,2.0,,7.785772625000391
1.5,2.0,,7.966458666998733
1.5,2.0,,7.845010584000192
1.5,2.0,,7.998676917000921
1.5,2.0,,8.015951957999278
1.5,2.0,,8.09437783300018
1.5,2.0,,8.372581834000812
1.5,2.0,,8.14308175000042
1.5,2.0,,8.387447916000383
1.5,2.0,,8.27073054200082
1.5,2.0,,11.500246375000645
1.5,2.0,,8.706979999999021
1.5,2.0,,8.965688708000016
1.5,2.0,,7.273077833999196
1.5,2.0,,6.331293125000229
1.5,2.0,,6.660411124999882
1.5,2.0,,8.790439207999952
1.5,2.0,,7.034932959000798
1.5,2.0,,7.099553250000099
1.5,2.0,,7.33541512499869
1.5,2.0,,7.364824542000861
1.5,2.0,,7.465486541001155
1.5,2.0,,8.223697416000505
1.5,2.0,,8.486936041999797
1.5,2.0,,6.811030791999656
1.5,2.0,,7.198224542000389
1.5,2.0,,7.302219459001208
1.5,2.0,,7.426711209000132
1.5,2.0,,7.720019665999644
1.5,2.0,,7.886866999999256
1.5,2.0,,7.91777779199947
1.5,2.0,,8.049951250000959
1.5,2.0,,7.966848833000768
1.5,2.0,,7.62741774999995
1.5,2.0,,7.447703916999672
1.5,2.0,,6.303401874998599
1.5,2.0,,10.356392292000235
