alpha1,alpha2,MAE,time_s
1.5,1.5,,0.6859872499990161
1.5,1.5,0.0,0.6430256249950617
1.5,1.5,,0.7417575409999699
1.5,1.5,,0.6572495840009651
1.5,1.5,,0.7626773750016582
1.5,1.5,10.0,0.6361542910017306
1.5,1.5,,0.641931875004957
1.5,1.5,,0.6220280830020783
1.5,1.5,,0.6413945829990553
1.5,1.5,,0.7309341660002246
1.5,1.5,,0.6992313329974422
1.5,1.5,,0.6495267919963226
1.5,1.5,90.0,0.6419435830030125
1.5,1.5,,0.636481207999168
1.5,1.5,,0.8950671659986256
1.5,1.5,100.0,0.719521833001636
1.5,1.5,,0.8669870000012452
1.5,1.5,,0.6775628340037656
1.5,1.5,,0.5927702080007293
1.5,1.5,,0.6370530410058564
1.5,1.5,70.0,0.6038010830015992
1.5,1.5,,0.5684706250031013
1.5,1.5,,0.6186919590036268
1.5,1.5,,0.5688665000052424
1.5,1.5,40.0,0.632303749996936
1.5,1.5,,0.5866618340005516
1.5,1.5,30.0,0.6964637919954839
1.5,1.5,70.0,0.713652041995374
1.5,1.5,,0.5980042920054984
1.5,1.5,,0.5754585410031723
1.5,1.5,0.0,0.5905750830061152
1.5,1.5,,0.5733429580068332
1.5,1.5,20.0,0.6522419589964557
1.5,1.5,,0.6471883330013952
1.5,1.5,60.0,0.5834016659937333
1.5,1.5,,0.6053241249974235
1.5,1.5,60.0,0.5722409160007373
1.5,1.5,,0.6093003329951898
1.5,1.5,,0.7448292080007377
1.5,1.5,100.0,1.1032775409985334
1.5,1.5,,1.1678783749957802
1.5,1.5,,0.8449640420003561
1.5,1.5,,1.5193430419967626
1.5,1.5,,0.9539461669992306
1.5,1.5,30.0,0.9238795830024172
1.5,1.5,,0.9473265409978922
1.5,1.5,90.0,0.6881594169972232
1.5,1.5,,0.6614087089983514
1.5,1.5,80.0,0.7004122090002056
1.5,1.5,,0.6412765419954667
1.5,1.5,,0.6675524169986602
1.5,1.5,70.0,0.6288178750037332
1.5,1.5,70.0,0.6666652909989352
1.5,1.5,60.0,0.6521818750043167
1.5,1.5,,0.6276360419942648
1.5,1.5,50.0,0.6846638749993872
1.5,1.5,30.0,0.6393357089982601
