alpha1,alpha2,MAE,time_s
1.5,8.0,5.0,0.2272249159977946
1.5,8.0,10.0,0.1850473750018864
1.5,8.0,15.0,0.1786457500020333
1.5,8.0,10.0,0.1930130410000856
1.5,8.0,10.0,0.234254333001445
1.5,8.0,10.0,0.1994458750014018
1.5,8.0,30.0,0.2617559999998775
1.5,8.0,15.0,0.3553555830003461
1.5,8.0,10.0,0.2238575419978588
1.5,8.0,10.0,0.2357428750001418
1.5,8.0,10.0,0.1952327919971139
1.5,8.0,10.0,0.221711125002912
1.5,8.0,10.0,0.1935969579972152
1.5,8.0,15.0,0.2001378749992
1.5,8.0,25.0,0.204408624998905
1.5,8.0,10.0,0.2110348749993136
1.5,8.0,10.0,0.2124914580017503
1.5,8.0,10.0,0.2420517499995185
1.5,8.0,10.0,0.1893883340017055
1.5,8.0,5.0,0.2108632499985105
1.5,8.0,35.0,0.2187900830031139
1.5,8.0,10.0,0.2082568749974598
1.5,8.0,10.0,0.2214324159976968
1.5,8.0,10.0,0.149467209001159
1.5,8.0,5.0,0.2159812079989933
1.5,8.0,20.0,0.1666136249987175
1.5,8.0,5.0,0.361688500001037
1.5,8.0,10.0,0.2737377090015798
1.5,8.0,10.0,0.255097665998619
1.5,8.0,10.0,0.225396042002103
1.5,8.0,10.0,0.2271854579994396
1.5,8.0,10.0,0.2471502910011622
1.5,8.0,10.0,0.2365969999991648
1.5,8.0,10.0,0.218690500001685
1.5,8.0,5.0,0.2263390829975833
1.5,8.0,10.0,0.2330231660016579
1.5,8.0,30.0,0.200319583997043
1.5,8.0,10.0,0.2256092919997172
1.5,8.0,20.0,0.2336629169985826
1.5,8.0,5.0,0.2394863750014337
1.5,8.0,10.0,0.2350604580024082
1.5,8.0,10.0,0.2497334170002432
1.5,8.0,10.0,0.2280558750026102
1.5,8.0,45.0,0.2418358750001061
1.5,8.0,10.0,0.2056469579983968
1.5,8.0,5.0,0.2840446250011155
1.5,8.0,10.0,0.280346625000675
1.5,8.0,5.0,0.2357757080026203
1.5,8.0,10.0,0.2267395839990058
1.5,8.0,10.0,0.2349373329998343
1.5,8.0,10.0,0.2163072920011473
1.5,8.0,5.0,0.2208956670001498
1.5,8.0,5.0,0.2629339579980296
1.5,8.0,10.0,0.2760145829997782
1.5,8.0,25.0,0.2642570829993929
1.5,8.0,30.0,0.2365159580003819
1.5,8.0,10.0,0.2030420420014707
1.5,8.0,25.0,0.2785704579982848
1.5,8.0,5.0,0.275236458001018
1.5,8.0,25.0,0.2633177920033631
1.5,8.0,15.0,0.2249294590001227
1.5,8.0,10.0,0.2273610000011103
1.5,8.0,10.0,0.2179449590003059
1.5,8.0,10.0,0.223529958002473
1.5,8.0,10.0,0.2308264999992388
1.5,8.0,10.0,0.2484555000010004
1.5,8.0,5.0,0.2224122920015361
1.5,8.0,10.0,0.2285011659987503
1.5,8.0,10.0,0.225017917000514
1.5,8.0,30.0,0.3047351250024803
1.5,8.0,10.0,0.2653595419978956
1.5,8.0,5.0,0.2804079170018667
1.5,8.0,10.0,0.235023416000331
1.5,8.0,30.0,0.2360460000018065
1.5,8.0,10.0,0.2494179170025745
1.5,8.0,10.0,0.2412647080018359
1.5,8.0,10.0,0.2124219580000499
1.5,8.0,10.0,0.2251692909994744
1.5,8.0,15.0,0.2284114579997549
1.5,8.0,10.0,0.2110145830010878
1.5,8.0,5.0,0.2310661670016998
1.5,8.0,5.0,0.2258314580030855
1.5,8.0,10.0,0.2123594579970813
1.5,8.0,20.0,0.2282825000002049
1.5,8.0,10.0,0.253923209002096
1.5,8.0,10.0,0.1987137079995591
1.5,8.0,15.0,0.2321186250010214
1.5,8.0,10.0,0.2742377079994185
1.5,8.0,10.0,0.2508148749984684
1.5,8.0,10.0,0.2502287909992446
1.5,8.0,30.0,0.2217375000000174
1.5,8.0,0.0,0.2430878749983094
1.5,8.0,10.0,0.2881777080001484
1.5,8.0,10.0,0.237067540998396
1.5,8.0,5.0,0.2270322919976024
1.5,8.0,10.0,0.2269529160003003
1.5,8.0,10.0,0.2521710420005547
1.5,8.0,15.0,0.24607508400004
1.5,8.0,15.0,0.2262671249991399
1.5,8.0,10.0,0.2369275419987389
1.5,8.0,20.0,0.2210984999983338
1.5,8.0,10.0,0.2968624169989198
1.5,8.0,5.0,0.2265699169984145
1.5,8.0,10.0,0.2067110419993696
1.5,8.0,15.0,0.2396251249992929
1.5,8.0,45.0,0.2501173749988084
1.5,8.0,10.0,0.2298989580012858
1.5,8.0,10.0,0.2396445000013045
1.5,8.0,30.0,0.2427395829981833
1.5,8.0,25.0,0.2287904579970927
1.5,8.0,10.0,0.2379388749977806
1.5,8.0,25.0,0.2421517919974576
1.5,8.0,10.0,0.2328969589980261
1.5,8.0,10.0,0.2489953330004937
1.5,8.0,10.0,0.2143289999985427
1.5,8.0,5.0,0.2290417499971226
1.5,8.0,15.0,0.2313524579985824
1.5,8.0,25.0,0.254114125000342
1.5,8.0,20.0,0.2401255829972797
