family,dim,k,method,trial,k_hat,f1
gaussian,2,0,edivisive,29,0,1.0
gaussian,2,0,ecf_cos,30,0,1.0
gaussian,2,0,midast_ks,30,2,0.0
gaussian,2,0,midast_cvm,30,1,0.0
gaussian,2,0,edivisive,30,0,1.0
gaussian,2,0,ecf_cos,31,0,1.0
gaussian,2,0,midast_ks,31,1,0.0
gaussian,2,0,midast_cvm,31,1,0.0
gaussian,2,0,edivisive,31,0,1.0
gaussian,2,0,ecf_cos,32,0,1.0
gaussian,2,0,midast_ks,32,2,0.0
gaussian,2,0,midast_cvm,32,2,0.0
gaussian,2,0,edivisive,32,0,1.0
gaussian,2,0,ecf_cos,33,0,1.0
gaussian,2,0,midast_ks,33,2,0.0
gaussian,2,0,midast_cvm,33,2,0.0
gaussian,2,0,edivisive,33,0,1.0
gaussian,2,0,ecf_cos,34,0,1.0
gaussian,2,0,midast_ks,34,2,0.0
gaussian,2,0,midast_cvm,34,2,0.0
gaussian,2,0,edivisive,34,0,1.0
gaussian,2,0,ecf_cos,35,0,1.0
gaussian,2,0,midast_ks,35,0,1.0
gaussian,2,0,midast_cvm,35,0,1.0
gaussian,2,0,edivisive,35,0,1.0
gaussian,2,0,ecf_cos,36,0,1.0
gaussian,2,0,midast_ks,36,2,0.0
gaussian,2,0,midast_cvm,36,1,0.0
gaussian,2,0,edivisive,36,0,1.0
gaussian,2,0,ecf_cos,37,0,1.0
gaussian,2,0,midast_ks,37,0,1.0
gaussian,2,0,midast_cvm,37,0,1.0
gaussian,2,0,edivisive,37,0,1.0
gaussian,2,0,ecf_cos,38,0,1.0
gaussian,2,0,midast_ks,38,1,0.0
gaussian,2,0,midast_cvm,38,0,1.0
gaussian,2,0,edivisive,38,0,1.0
gaussian,2,0,ecf_cos,39,1,0.0
gaussian,2,0,midast_ks,39,2,0.0
gaussian,2,0,midast_cvm,39,3,0.0
gaussian,2,0,edivisive,39,0,1.0
gaussian,2,0,ecf_cos,40,2,0.0
gaussian,2,0,midast_ks,40,0,1.0
gaussian,2,0,midast_cvm,40,1,0.0
gaussian,2,0,edivisive,40,0,1.0
gaussian,2,0,ecf_cos,41,0,1.0
gaussian,2,0,midast_ks,41,3,0.0
gaussian,2,0,midast_cvm,41,1,0.0
gaussian,2,0,edivisive,41,0,1.0
gaussian,2,0,ecf_cos,42,0,1.0
gaussian,2,0,midast_ks,42,2,0.0
gaussian,2,0,midast_cvm,42,2,0.0
gaussian,2,0,edivisive,42,0,1.0
gaussian,2,0,ecf_cos,43,0,1.0
gaussian,2,0,midast_ks,43,0,1.0
gaussian,2,0,midast_cvm,43,1,0.0
gaussian,2,0,edivisive,43,0,1.0
gaussian,2,0,ecf_cos,44,0,1.0
gaussian,2,0,midast_ks,44,1,0.0
gaussian,2,0,midast_cvm,44,3,0.0
gaussian,2,0,edivisive,44,0,1.0
gaussian,2,0,ecf_cos,45,0,1.0
gaussian,2,0,midast_ks,45,0,1.0
gaussian,2,0,midast_cvm,45,0,1.0
gaussian,2,0,edivisive,45,0,1.0
gaussian,2,0,ecf_cos,46,0,1.0
gaussian,2,0,midast_ks,46,3,0.0
gaussian,2,0,midast_cvm,46,3,0.0
gaussian,2,0,edivisive,46,0,1.0
gaussian,2,0,ecf_cos,47,0,1.0
gaussian,2,0,midast_ks,47,1,0.0
gaussian,2,0,midast_cvm,47,1,0.0
gaussian,2,0,edivisive,47,0,1.0
gaussian,2,0,ecf_cos,48,0,1.0
gaussian,2,0,midast_ks,48,4,0.0
gaussian,2,0,midast_cvm,48,3,0.0
gaussian,2,0,edivisive,48,0,1.0
gaussian,2,0,ecf_cos,49,0,1.0
gaussian,2,0,midast_ks,49,4,0.0
gaussian,2,0,midast_cvm,49,2,0.0
gaussian,2,0,edivisive,49,0,1.0
gaussian,2,0,ecf_cos,50,0,1.0
gaussian,2,0,midast_ks,50,0,1.0
gaussian,2,0,midast_cvm,50,0,1.0
gaussian,2,0,edivisive,50,0,1.0
gaussian,2,0,ecf_cos,51,0,1.0
gaussian,2,0,midast_ks,51,0,1.0
gaussian,2,0,midast_cvm,51,1,0.0
gaussian,2,0,edivisive,51,0,1.0
gaussian,2,0,ecf_cos,52,0,1.0
gaussian,2,0,midast_ks,52,4,0.0
gaussian,2,0,midast_cvm,52,4,0.0
gaussian,2,0,edivisive,52,0,1.0
